year,month,week,origin,volume_tonnes,price_high,price_mid,price_low,approx_fish_count,week_number
2023,1,1,各地,87.9,183600,7728,3240,352,1
2023,1,2,各地,30.7,15120,5150,2160,123,2
2023,1,3,各地,29.4,9720,4565,2484,118,3
2023,1,4,各地,23.4,17820,5212,2700,94,4
2023,1,5,各地,28.8,15660,5448,2700,115,5
2023,2,1,各地,27.6,12960,4620,2160,110,6
2023,2,2,各地,31.3,10800,4939,2700,125,7
2023,2,3,各地,23.6,12960,5622,2700,94,8
2023,2,4,各地,46.8,15660,5163,2484,187,9
2023,3,1,各地,34.0,14580,5178,2268,136,10
2023,3,2,各地,27.2,15660,5741,3024,109,11
2023,3,3,各地,40.1,12960,5369,2916,160,12
2023,3,4,各地,28.5,13500,5163,2160,114,13
2023,4,1,各地,45.2,16740,5621,2916,181,14
2023,4,2,各地,32.2,15120,5092,2376,129,15
2023,4,3,各地,37.1,14040,5021,2700,148,16
2023,4,4,各地,35.7,10800,4594,2160,143,17
2023,5,1,各地,42.9,12960,5160,2160,172,18
2023,5,2,各地,38.6,16740,6403,2700,154,19
2023,5,3,各地,48.3,16740,4126,2160,193,20
2023,5,4,各地,36.3,18900,5788,2160,145,21
2023,5,5,各地,45.5,16200,4673,2160,182,22
2023,6,1,各地,42.9,13500,3939,2160,172,23
2023,6,2,各地,59.2,12960,3107,1728,237,24
2023,6,3,各地,50.2,15660,3392,1620,201,25
2023,6,4,各地,41.7,22680,3596,1836,167,26
2023,7,1,各地,46.8,18360,4243,2160,187,27
2023,7,2,各地,36.2,19980,6802,1944,145,28
2023,7,3,各地,39.0,20520,5510,1512,156,29
2023,7,4,各地,30.6,19980,5902,2160,122,30
2023,7,5,各地,30.6,21600,6191,2376,122,31
2023,8,1,各地,34.6,27000,6902,2160,138,32
2023,8,2,各地,34.0,21600,10175,3780,136,33
2023,8,3,各地,33.3,21600,8219,2160,133,34
2023,8,4,各地,27.4,41045,5874,2160,110,35
2023,9,1,各地,30.0,15660,8098,2160,120,36
2023,9,2,各地,32.5,15120,8328,2376,130,37
2023,9,3,各地,37.3,15660,7841,2160,149,38
2023,9,4,各地,38.5,14040,5275,2700,154,39
2023,10,1,各地,38.7,16740,5216,2700,155,40
2023,10,2,各地,42.8,12960,4623,1944,171,41
2023,10,3,各地,36.6,14580,5880,2160,146,42
2023,10,4,各地,41.2,11880,5926,2916,165,43
2023,10,5,各地,41.4,10800,5744,2160,166,44
2023,11,1,各地,40.0,12960,5488,2484,160,45
2023,11,2,各地,38.1,15660,5431,2592,152,46
2023,11,3,各地,37.0,18900,9039,3456,148,47
2023,11,4,各地,38.9,12960,6304,2160,156,48
2023,12,1,各地,48.5,12960,5412,2160,194,49
2023,12,2,各地,41.0,21600,5644,3024,164,50
2023,12,3,各地,45.8,16200,7083,2700,183,51
2023,12,4,各地,68.0,16740,7366,2484,272,52
